,url,desc,full_desc,requirements,popu_tags,game_name
59914,https://store.steampowered.com/bundle/4539/Ys_VIII_Lacrimosa_of_DANA__Elixir_Complete_Set/?snr=1_7_7_230_150_2394,-,,-,-,Ys_VIII_Lacrimosa_of_DANA__Elixir_Complete_Set
59915,https://store.steampowered.com/bundle/4540/Ys_VIII_Lacrimosa_of_DANA__Tempest_Complete_Set/?snr=1_7_7_230_150_2394,-,,-,-,Ys_VIII_Lacrimosa_of_DANA__Tempest_Complete_Set
59916,https://store.steampowered.com/bundle/4542/Ys_VIII_Lacrimosa_of_DANA__Fish_Bait_Complete_Set/?snr=1_7_7_230_150_2394,-,,-,-,Ys_VIII_Lacrimosa_of_DANA__Fish_Bait_Complete_Set
59919,https://store.steampowered.com/bundle/2961/Steam_Rails_to_Riches__All_Map_Expansions/?snr=1_7_7_230_150_2394,-,,-,-,Steam_Rails_to_Riches__All_Map_Expansions
59921,https://store.steampowered.com/bundle/3175/Fear_the_Walking_Dead_Season_1/?snr=1_7_7_230_150_2394,-,,-,-,Fear_the_Walking_Dead_Season_1
59922,https://store.steampowered.com/bundle/3176/Fear_the_Walking_Dead_Season_2/?snr=1_7_7_230_150_2394,-,,-,-,Fear_the_Walking_Dead_Season_2
59923,https://store.steampowered.com/bundle/3237/Showa_Genroku_Rakugo_Shinju_Season_1/?snr=1_7_7_230_150_2394,-,,-,-,Showa_Genroku_Rakugo_Shinju_Season_1
59953,https://store.steampowered.com/bundle/1333/Mugen_Souls_Z_DLC_Collection/?snr=1_7_7_230_150_2396,-,,-,-,Mugen_Souls_Z_DLC_Collection
59954,https://store.steampowered.com/bundle/1376/Daylights_End_VR__Full_Movie/?snr=1_7_7_230_150_2396,-,,-,-,Daylights_End_VR__Full_Movie
59955,https://store.steampowered.com/bundle/1428/Runbow__Extra_ValHue_Bundle/?snr=1_7_7_230_150_2396,-,,-,-,Runbow__Extra_ValHue_Bundle
59965,https://store.steampowered.com/bundle/4687/Cirque_du_Soleil_Bundle/?snr=1_7_7_230_150_2396,-,,-,-,Cirque_du_Soleil_Bundle
59973,https://store.steampowered.com/bundle/4814/The_Walking_Dead_Season_8/?snr=1_7_7_230_150_2396,-,,-,-,The_Walking_Dead_Season_8
59979,https://store.steampowered.com/bundle/6852/Craft_and_Space_Bundle/?snr=1_7_7_230_150_2397,-,,-,-,Craft_and_Space_Bundle
59981,https://store.steampowered.com/bundle/2961/Steam_Rails_to_Riches__All_Map_Expansions/?snr=1_7_7_230_150_2397,-,,-,-,Steam_Rails_to_Riches__All_Map_Expansions
59983,https://store.steampowered.com/bundle/3175/Fear_the_Walking_Dead_Season_1/?snr=1_7_7_230_150_2397,-,,-,-,Fear_the_Walking_Dead_Season_1
59984,https://store.steampowered.com/bundle/3176/Fear_the_Walking_Dead_Season_2/?snr=1_7_7_230_150_2397,-,,-,-,Fear_the_Walking_Dead_Season_2
59985,https://store.steampowered.com/bundle/3237/Showa_Genroku_Rakugo_Shinju_Season_1/?snr=1_7_7_230_150_2397,-,,-,-,Showa_Genroku_Rakugo_Shinju_Season_1
59989,https://store.steampowered.com/bundle/3263/New_Game_Season_1/?snr=1_7_7_230_150_2397,-,,-,-,New_Game_Season_1
59991,https://store.steampowered.com/bundle/3391/Online_Gamer_Season_1/?snr=1_7_7_230_150_2397,-,,-,-,Online_Gamer_Season_1
59992,https://store.steampowered.com/bundle/3392/Online_Gamer_Season_2/?snr=1_7_7_230_150_2397,-,,-,-,Online_Gamer_Season_2
59993,https://store.steampowered.com/bundle/3444/Fear_the_Walking_Dead_Season_3/?snr=1_7_7_230_150_2397,-,,-,-,Fear_the_Walking_Dead_Season_3
59994,https://store.steampowered.com/bundle/3536/Saga_of_Tanya_the_Evil_Season_1/?snr=1_7_7_230_150_2397,-,,-,-,Saga_of_Tanya_the_Evil_Season_1
59995,https://store.steampowered.com/bundle/337/Retool_Special_Edition/?snr=1_7_7_230_150_2397,-,,-,-,Retool_Special_Edition
59998,https://store.steampowered.com/bundle/4687/Cirque_du_Soleil_Bundle/?snr=1_7_7_230_150_2397,-,,-,-,Cirque_du_Soleil_Bundle
60003,https://store.steampowered.com/bundle/337/Retool_Special_Edition/?snr=1_7_7_230_150_2398,-,,-,-,Retool_Special_Edition
60004,https://store.steampowered.com/bundle/3648/Yuri_on_Ice_Season_1/?snr=1_7_7_230_150_2398,-,,-,-,Yuri_on_Ice_Season_1
60006,https://store.steampowered.com/bundle/3772/Gintama_Season_4/?snr=1_7_7_230_150_2398,-,,-,-,Gintama_Season_4
60011,https://store.steampowered.com/bundle/5743/Green_Puzzle/?snr=1_7_7_230_150_2398,-,,-,-,Green_Puzzle
60220,https://store.steampowered.com/app/41210/Eufloria/?snr=1_7_7_230_150_2406,-,,-,-,Eufloria
60223,https://store.steampowered.com/app/23510/Texas_CheatEm/?snr=1_7_7_230_150_2406,-,,-,-,Texas_CheatEm
60306,https://store.steampowered.com/app/396470/Evoland_2__Artbook/?snr=1_7_7_230_150_2410,-,,System RequirementsMinimum:OS: Windows Vista or betterProcessor: Intel 2.0ghz Core 2 Duo or equivalentMemory: 4 GB RAMGraphics: Nvidia 260 GTS / Radeon HD 4850 or betterDirectX: Version 9.0Storage: 800 MB available space,ActionAdventureRPGIndie+,Evoland_2__Artbook
60308,https://store.steampowered.com/app/396540/Cliffs_of_War_Fortress_Defenders/?snr=1_7_7_230_150_2410,The game is closed,,-,-,Cliffs_of_War_Fortress_Defenders
60323,https://store.steampowered.com/app/398430/Bob_Was_Hungry_Demo/?snr=1_7_7_230_150_2410,,,System RequirementsMinimum:OS: Windows 7Processor: Intel Core i5 1.8 GHzGraphics: 768 MB / Shader Model 2.0DirectX: Version 9.0cStorage: 350 MB available space,Indie+,Bob_Was_Hungry_Demo
60434,https://store.steampowered.com/app/322480/Battlepaths__Soundtrack/?snr=1_7_7_230_150_2415,-,,System RequirementsWindowsSteamOS + LinuxMinimum:OS: AnyProcessor: AnySound Card: AnyMinimum:OS: AnyProcessor: AnySound Card: Any,RPGIndie+,Battlepaths__Soundtrack
60501,https://store.steampowered.com/bundle/3648/Yuri_on_Ice_Season_1/?snr=1_7_7_230_150_2418,-,,-,-,Yuri_on_Ice_Season_1
60503,https://store.steampowered.com/bundle/3772/Gintama_Season_4/?snr=1_7_7_230_150_2418,-,,-,-,Gintama_Season_4
60551,https://store.steampowered.com/app/455740/The_Last_Door_Season_2_Soundtrack/?snr=1_7_7_230_150_2420,-,,System RequirementsWindowsMac OS XSteamOS + LinuxMinimum:OS: AnyProcessor: AnyMinimum:OS: AnyProcessor: AnyMinimum:OS: AnyProcessor: Any,Adventure+,The_Last_Door_Season_2_Soundtrack
60616,https://store.steampowered.com/app/338440/BOMB_Dedicated_Server/?snr=1_7_7_230_150_2422,,,-,-,BOMB_Dedicated_Server
60668,https://store.steampowered.com/app/322480/Battlepaths__Soundtrack/?snr=1_7_7_230_150_2424,-,,System RequirementsWindowsSteamOS + LinuxMinimum:OS: AnyProcessor: AnySound Card: AnyMinimum:OS: AnyProcessor: AnySound Card: Any,RPGIndie+,Battlepaths__Soundtrack
60720,https://store.steampowered.com/app/300860/Pure_Pool__VooFoo_DNA/?snr=1_7_7_230_150_2426,-,,System RequirementsMinimum:OS: Windows VistaProcessor: 2.0 GHz Dual CoreMemory: 2 GB RAMGraphics: NVIDIA GeForce 8800GT or AMD Radeon HD 3830DirectX: Version 10Storage: 600 MB available spaceSound Card: DirectX CompatiableRecommended:OS: Windows 7Processor: 2.0+ GHz Dual CoreMemory: 3 GB RAMGraphics: NVIDIA GeForce GTX 560 or AMD Radeon HD 7750DirectX: Version 10Storage: 600 MB available spaceSound Card: DirectX Compatiable,CasualSimulationSports+,Pure_Pool__VooFoo_DNA
60751,https://store.steampowered.com/app/260920/Loadout_The_Absolute_Badass_Pack_New/?snr=1_7_7_230_150_2428,-,,"System RequirementsOS:Windows XP SP3, Windows Vista, Windows 7, Windows 8Processor:Intel Core 2 Duo or AMD equivalent or betterMemory:2 GB RAMGraphics:ATI Radeon HD 4350 / NVIDIA GeForce 6800 / Intel HD 3000 or betterDirectX®:9.0cHard Drive:4GB HD spaceSound:DirectX compatible Sound CardOther Requirements:Broadband Internet connection",IndieAction+,Loadout_The_Absolute_Badass_Pack_New
60833,https://store.steampowered.com/app/316670/Cognition__Original_Soundtrack_Vol_1/?snr=1_7_7_230_150_2431,-,,System RequirementsWindowsMac OS XMinimum:OS: AnyProcessor: AnyMemory: 128 MB RAMGraphics: AnyStorage: 500 MB available spaceSound Card: AnyRecommended:OS: AnyProcessor: AnyMemory: 128 MB RAMGraphics: AnyStorage: 500 MB available spaceSound Card: AnyMinimum:OS: AnyProcessor: AnyMemory: 128 MB RAMGraphics: AnyStorage: 500 MB available spaceSound Card: AnyRecommended:OS: AnyProcessor: AnyMemory: 128 MB RAMGraphics: AnyStorage: 500 MB available spaceSound Card: Any,AdventureIndie+,Cognition__Original_Soundtrack_Vol_1
60834,https://store.steampowered.com/app/316671/Cognition__Original_Soundtrack_Vol_2/?snr=1_7_7_230_150_2431,-,,System RequirementsWindowsMac OS XMinimum:OS: AnyProcessor: AnyMemory: 128 MB RAMGraphics: AnyStorage: 500 MB available spaceSound Card: AnyRecommended:OS: AnyProcessor: AnyMemory: 128 MB RAMGraphics: AnyStorage: 500 MB available spaceSound Card: AnyMinimum:OS: AnyProcessor: AnyMemory: 128 MB RAMGraphics: AnyStorage: 500 MB available spaceSound Card: AnyRecommended:OS: AnyProcessor: AnyMemory: 128 MB RAMGraphics: AnyStorage: 500 MB available spaceSound Card: Any,AdventureIndie+,Cognition__Original_Soundtrack_Vol_2
60840,https://store.steampowered.com/app/317160/_/?snr=1_7_7_230_150_2431,,,System RequirementsMinimum:OS: Windows XPProcessor: Core 2 DuoMemory: 1 GB RAMGraphics: IntegratedStorage: 100 MB available space,ActionIndie+,_
